Código do Reservatório,Reservatório,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição
19017,EMBORCAÇÃO,649.47,378.78,101.0,0.0,101.0,433.93,64.07,,01/04/2022
19017,EMBORCAÇÃO,649.56,450.14,91.0,0.0,91.0,425.59,64.31,,02/04/2022
19017,EMBORCAÇÃO,649.64,448.19,88.0,0.0,88.0,402.32,64.52,,03/04/2022
19017,EMBORCAÇÃO,649.7,331.05,91.0,0.0,91.0,395.4,64.68,,04/04/2022
19017,EMBORCAÇÃO,649.75,334.05,94.0,0.0,94.0,389.66,64.81,,05/04/2022
19017,EMBORCAÇÃO,649.81,336.05,96.0,0.0,96.0,376.61,64.97,,06/04/2022
19017,EMBORCAÇÃO,649.87,331.16,91.0,0.0,91.0,364.41,65.13,,07/04/2022
19017,EMBORCAÇÃO,649.93,340.05,100.0,0.0,100.0,350.59,65.29,,08/04/2022
19017,EMBORCAÇÃO,649.98,291.0,91.0,0.0,91.0,340.7,65.42,,09/04/2022
19017,EMBORCAÇÃO,650.04,331.44,90.0,0.0,90.0,333.83,65.58,,10/04/2022
19017,EMBORCAÇÃO,650.09,298.74,97.0,0.0,97.0,331.26,65.72,,11/04/2022
19017,EMBORCAÇÃO,650.15,334.13,92.0,0.0,92.0,332.45,65.88,,12/04/2022
19017,EMBORCAÇÃO,,,,,,,,,13/04/2022
19017,EMBORCAÇÃO,650.25,295.74,94.0,0.0,94.0,367.41,66.14,,14/04/2022
19017,EMBORCAÇÃO,650.31,336.13,94.0,0.0,94.0,381.51,66.3,,15/04/2022
19017,EMBORCAÇÃO,650.37,336.01,94.0,0.0,94.0,381.66,66.46,,16/04/2022
19017,EMBORCAÇÃO,650.43,335.13,93.0,0.0,93.0,366.09,66.62,,17/04/2022
19017,EMBORCAÇÃO,,,,,,,,,18/04/2022
