Código do Reservatório,Reservatório,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição
19128,SERRA DA MESA,449.45,793.56,113.0,0.0,113.0,824.62,62.14,,01/04/2022
19128,SERRA DA MESA,449.49,726.74,111.0,0.0,111.0,767.92,62.27,,02/04/2022
19128,SERRA DA MESA,449.52,662.93,112.0,0.0,112.0,687.59,62.38,,03/04/2022
19128,SERRA DA MESA,449.55,631.52,113.0,0.0,113.0,643.39,62.48,,04/04/2022
19128,SERRA DA MESA,449.58,590.11,104.0,0.0,104.0,605.85,62.58,,05/04/2022
19128,SERRA DA MESA,449.61,561.7,108.0,0.0,108.0,600.59,62.67,,06/04/2022
19128,SERRA DA MESA,449.64,596.11,110.0,0.0,110.0,592.26,62.77,,07/04/2022
19128,SERRA DA MESA,449.67,596.11,110.0,0.0,110.0,587.45,62.86,,08/04/2022
19128,SERRA DA MESA,449.7,601.11,115.0,0.0,115.0,589.84,62.96,,09/04/2022
19128,SERRA DA MESA,449.73,628.52,110.0,0.0,110.0,598.7,63.06,,10/04/2022
19128,SERRA DA MESA,449.77,667.93,117.0,0.0,117.0,603.79,63.17,,11/04/2022
19128,SERRA DA MESA,449.8,660.93,110.0,0.0,110.0,619.13,63.28,,12/04/2022
19128,SERRA DA MESA,449.87,662.93,112.0,0.0,112.0,652.52,63.5,,13/04/2022
19128,SERRA DA MESA,449.9,627.52,109.0,0.0,109.0,667.94,63.61,,14/04/2022
19128,SERRA DA MESA,449.94,720.74,105.0,0.0,105.0,695.73,63.73,,15/04/2022
19128,SERRA DA MESA,449.97,626.52,108.0,0.0,108.0,712.94,63.83,,16/04/2022
19128,SERRA DA MESA,450.01,745.57,109.0,0.0,109.0,678.86,63.96,,17/04/2022
