Código do Reservatório,Reservatório,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição
19121,SOBRADINHO,392.44,3230.0,3015.0,0.0,3015.0,4052.0,99.12,,01/04/2022
19121,SOBRADINHO,392.45,2930.0,2877.0,0.0,2877.0,3704.0,99.27,,02/04/2022
19121,SOBRADINHO,392.44,2730.0,2805.0,0.0,2805.0,3437.0,99.12,,03/04/2022
19121,SOBRADINHO,392.45,2530.0,2460.0,0.0,2460.0,3239.0,99.27,,04/04/2022
19121,SOBRADINHO,392.46,2400.0,1943.0,0.0,1943.0,2910.0,99.41,,05/04/2022
19121,SOBRADINHO,392.47,2220.0,1466.0,0.0,1466.0,2642.0,99.56,,06/04/2022
19121,SOBRADINHO,392.48,2210.0,1453.0,0.0,1453.0,2460.0,99.71,,07/04/2022
19121,SOBRADINHO,392.49,2230.0,1291.0,0.0,1291.0,2345.0,99.85,,08/04/2022
19121,SOBRADINHO,392.5,2190.0,1109.0,0.0,1109.0,2233.0,100.0,,09/04/2022
19121,SOBRADINHO,392.51,2160.0,1101.0,0.0,1101.0,2131.0,100.15,,10/04/2022
19121,SOBRADINHO,392.52,2070.0,1128.0,0.0,1128.0,2125.0,100.29,,11/04/2022
19121,SOBRADINHO,392.53,1990.0,1500.0,0.0,1500.0,2128.0,100.44,,12/04/2022
19121,SOBRADINHO,,,,,,2045.0,,,13/04/2022
19121,SOBRADINHO,392.5,1890.0,1522.0,0.0,1522.0,2180.0,100.0,,14/04/2022
19121,SOBRADINHO,392.5,1860.0,1963.0,0.0,1963.0,2183.0,100.0,,15/04/2022
19121,SOBRADINHO,392.5,1850.0,2314.0,0.0,2314.0,2143.0,100.0,,16/04/2022
19121,SOBRADINHO,392.5,1840.0,2320.0,0.0,2320.0,2166.0,100.0,,17/04/2022
19121,SOBRADINHO,,,,,,2156.0,,,18/04/2022
