Código do Reservatório,Reservatório,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição
19119,TRÊS MARIAS,571.69,596.37,551.0,0.0,551.0,635.76,94.45,,01/04/2022
19119,TRÊS MARIAS,571.69,597.0,597.0,0.0,597.0,636.31,94.45,,02/04/2022
19119,TRÊS MARIAS,571.69,608.35,597.0,0.0,597.0,630.03,94.46,,03/04/2022
19119,TRÊS MARIAS,571.69,587.65,599.0,0.0,599.0,621.56,94.45,,04/04/2022
19119,TRÊS MARIAS,571.69,599.0,599.0,0.0,599.0,621.54,94.45,,05/04/2022
19119,TRÊS MARIAS,571.68,601.94,670.0,13.0,657.0,627.7,94.41,,06/04/2022
19119,TRÊS MARIAS,571.65,608.84,949.0,294.0,655.0,622.26,94.22,,07/04/2022
19119,TRÊS MARIAS,571.63,598.66,871.0,307.0,564.0,607.11,94.07,,08/04/2022
19119,TRÊS MARIAS,571.61,620.58,870.0,306.0,564.0,608.84,93.92,,09/04/2022
19119,TRÊS MARIAS,571.59,621.35,871.0,306.0,565.0,624.37,93.78,,10/04/2022
19119,TRÊS MARIAS,571.57,644.19,871.0,306.0,565.0,629.33,93.66,,11/04/2022
19119,TRÊS MARIAS,571.55,689.59,871.0,306.0,565.0,636.89,93.55,,12/04/2022
19119,TRÊS MARIAS,,,,,,,,,13/04/2022
19119,TRÊS MARIAS,571.5,635.63,817.0,251.0,566.0,655.84,93.26,,14/04/2022
19119,TRÊS MARIAS,571.49,635.4,817.0,251.0,566.0,643.64,93.16,,15/04/2022
19119,TRÊS MARIAS,571.47,612.83,817.0,251.0,566.0,622.43,93.04,,16/04/2022
19119,TRÊS MARIAS,571.45,590.26,817.0,250.0,567.0,620.83,92.91,,17/04/2022
19119,TRÊS MARIAS,,,,,,,,,18/04/2022
