Código do Reservatório,Reservatório,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição
19134,TUCURUI,73.85,28870.94,31292.0,22205.0,9087.0,31332.25,98.85,,01/04/2022
19134,TUCURUI,73.87,31229.86,30539.0,23133.0,7406.0,31422.77,99.0,,02/04/2022
19134,TUCURUI,73.94,32488.61,30065.0,23610.0,6455.0,30790.53,99.54,,03/04/2022
19134,TUCURUI,73.86,28998.72,30728.0,23068.0,7660.0,30271.36,98.92,,04/04/2022
19134,TUCURUI,73.85,30481.63,30827.0,22314.0,8513.0,29624.0,98.85,,05/04/2022
19134,TUCURUI,73.78,27641.96,30054.0,21170.0,8884.0,29369.29,98.31,,06/04/2022
19134,TUCURUI,73.81,28202.64,27170.0,19001.0,8169.0,28778.67,98.54,,07/04/2022
19134,TUCURUI,73.83,26358.35,25669.0,16969.0,8700.0,27718.76,98.69,,08/04/2022
19134,TUCURUI,73.84,25425.02,25080.0,16540.0,8540.0,26942.36,98.77,,09/04/2022
19134,TUCURUI,73.8,24574.3,25953.0,16540.0,9413.0,26118.88,98.47,,10/04/2022
19134,TUCURUI,73.74,23179.15,25242.0,15000.0,10242.0,25534.56,98.01,,11/04/2022
19134,TUCURUI,73.8,23640.85,21578.0,11847.0,9731.0,24981.4,98.47,,12/04/2022
19134,TUCURUI,73.87,22424.58,20010.0,10370.0,9640.0,23771.78,99.0,,13/04/2022
19134,TUCURUI,73.89,21608.55,20917.0,10944.0,9973.0,22918.2,99.15,,14/04/2022
19134,TUCURUI,73.89,19637.0,19637.0,11430.0,8207.0,22325.87,99.15,,15/04/2022
19134,TUCURUI,73.89,20811.0,20811.0,11430.0,9381.0,21758.78,99.15,,16/04/2022
19134,TUCURUI,73.9,20266.95,19921.0,11430.0,8491.0,21171.07,99.23,,17/04/2022
